,NOC,First_Participation_Year,First_Award_Year,Time_to_Award,Athletes_Count,Events_Count,Awarded,Participation_Frequency,Events_Diversity,Years_since_first_competition,Survival_at_2028
28,BOL,1936,,-1,-0.42712833878392353,-0.16153337912300056,0,0.182363558828961,-0.2213591102272755,92,0.001807809224572748
68,FIJ,1956,,-1,-0.3712919631759783,0.14820128940372843,0,0.3224574185916064,-0.2213591102272755,72,0.0341512859308295
118,LBR,1956,,-1,-0.44348444881049337,-0.769172572586896,0,0.042269699066315565,-1.3140253564555286,72,0.1385882066364053
122,LIE,1936,,-1,-0.4468684715746113,-0.5970977567387132,0,0.6026451381168973,-0.706988552995388,92,0.0003612506651877199
137,MLT,1928,,-1,-0.43051236154804146,-0.14432589753818229,0,0.6026451381168973,-0.46417383161133174,100,9.080809016254334e-06
139,MON,1920,,-1,-0.41584826290353055,-0.1927219394954837,0,1.163020577167479,0.02145561115678075,108,2.870294116775903e-07
143,MYA,1948,,-1,-0.42938435396000213,-0.2733820094243194,0,0.7427389978795428,-0.2213591102272755,80,0.0027481096273646024
